Vendor,Collection,Design ID,Size,Long SKU,Primary Color,UPC,Retail Price,Product ID,URL
Rizzy,Anatolia,ANT740,"2'6"" x 8'",ANTANT74033372608,Gray/Ivory,196796016971,289.99,,
Rizzy,Anatolia,ANT740,"5'2"" x 7'9""",ANTANT74033375279,Gray/Ivory,196796016988,549.99,,
Rizzy,Anatolia,ANT740,8' x 10',ANTANT74033370810,Gray/Ivory,196796016995,1079.99,,
Rizzy,Anatolia,ANT740,9'x12',ANTANT74033370912,Gray/Ivory,196796017008,1589.99,,
Rizzy,Anatolia,ANT740,10' x 13',ANTANT74033370113,Gray/Ivory,196796017015,1909.99,,
Rizzy,Anatolia,ANT742,"2'6"" x 8'",ANTANT742DR002608,Dk.Gray,196796017039,289.99,,
Rizzy,Anatolia,ANT742,"5'2"" x 7'9""",ANTANT742DR005279,Dk.Gray,196796017060,549.99,,
Rizzy,Anatolia,ANT742,8' x 10',ANTANT742DR000810,Dk.Gray,196796017077,1079.99,,
Rizzy,Anatolia,ANT742,9'x12',ANTANT742DR000912,Dk.Gray,196796017084,1589.99,,
Rizzy,Anatolia,ANT742,10' x 13',ANTANT742DR000113,Dk.Gray,196796017091,1909.99,,
Rizzy,Anatolia,ANT743,"2'6"" x 8'",ANTANT74300462608,Lt.Gray,196796017046,289.99,,
Rizzy,Anatolia,ANT743,"5'2"" x 7'9""",ANTANT74300465279,Lt.Gray,196796017053,549.99,,
Rizzy,Anatolia,ANT743,8' x 10',ANTANT74300460810,Lt.Gray,196796017114,1079.99,,
Rizzy,Anatolia,ANT743,9'x12',ANTANT74300460912,Lt.Gray,196796017121,1589.99,,
Rizzy,Anatolia,ANT743,10' x 13',ANTANT74300460113,Lt.Gray,196796017138,1909.99,,
Rizzy,Anatolia,ANT744,"2'6"" x 8'",ANTANT74400092608,Blue,196796017152,289.99,,
Rizzy,Anatolia,ANT744,"5'2"" x 7'9""",ANTANT74400095279,Blue,196796017169,549.99,,
Rizzy,Anatolia,ANT744,8' x 10',ANTANT74400090810,Blue,196796017176,1079.99,,
Rizzy,Anatolia,ANT744,9'x12',ANTANT74400090912,Blue,196796017183,1589.99,,
Rizzy,Anatolia,ANT744,10' x 13',ANTANT74400090113,Blue,196796017190,1909.99,,
Rizzy,Anatolia,ANT745,"2'6"" x 8'",ANTANT74500332608,Gray,196796024228,289.99,,
Rizzy,Anatolia,ANT745,"5'2"" x 7'9""",ANTANT74500335279,Gray,196796024549,549.99,,
Rizzy,Anatolia,ANT745,8' x 10',ANTANT74500330810,Gray,196796024679,1079.99,,
Rizzy,Anatolia,ANT745,9'x12',ANTANT74500330912,Gray,196796024761,1589.99,,
Rizzy,Anatolia,ANT745,10' x 13',ANTANT74500330113,Gray,196796023986,1909.99,,
Rizzy,Anatolia,ANT746,"2'6"" x 8'",ANTANT74633092608,Gray,196796024242,289.99,,
Rizzy,Anatolia,ANT746,"5'2"" x 7'9""",ANTANT74633095279,Gray,196796024563,549.99,,
Rizzy,Anatolia,ANT746,8' x 10',ANTANT74633090810,Gray,196796024709,1079.99,,
Rizzy,Anatolia,ANT746,9'x12',ANTANT74633090912,Gray,196796024778,1589.99,,
Rizzy,Anatolia,ANT746,10' x 13',ANTANT74633090113,Gray,196796024006,1909.99,,
Rizzy,Anatolia,ANT747,"2'6"" x 8'",ANTANT74704542608,Beige/multi,196796024303,289.99,,
Rizzy,Anatolia,ANT747,"5'2"" x 7'9""",ANTANT74704545279,Beige/multi,196796024617,549.99,,
Rizzy,Anatolia,ANT747,8' x 10',ANTANT74704540810,Beige/multi,196796024723,1079.99,,
Rizzy,Anatolia,ANT747,9'x12',ANTANT74704540912,Beige/multi,196796024785,1589.99,,
Rizzy,Anatolia,ANT747,10' x 13',ANTANT74704540113,Beige/multi,196796024068,1909.99,,
Rizzy,Anatolia,ANT748,"2'6"" x 8'",ANTANT74800332608,Gray,196796024518,289.99,4976S,https://homemakersfurniture.github.io/rugDatabase/#/collection/Anatolia/ANT748
Rizzy,Anatolia,ANT748,"5'2"" x 7'9""",ANTANT74800335279,Gray,196796024648,549.99,,
Rizzy,Anatolia,ANT748,8' x 10',ANTANT74800330810,Gray,196796024747,1079.99,,
Rizzy,Anatolia,ANT748,9'x12',ANTANT74800330912,Gray,196796024792,1589.99,,
Rizzy,Anatolia,ANT748,10' x 13',ANTANT74800330113,Gray,196796024082,1909.99,,
Rizzy,Ankara,ANK729,"2'6"" x 8'",ANKANK72937332608,Ivory/Gray,196796019552,289.99,,
Rizzy,Ankara,ANK729,"5'2"" x 7'9""",ANKANK72937335279,Ivory/Gray,196796019569,549.99,,
Rizzy,Ankara,ANK729,8' x 10',ANKANK72937330810,Ivory/Gray,196796019576,1079.99,,
Rizzy,Ankara,ANK729,9'x12',ANKANK72937330912,Ivory/Gray,196796019583,1589.99,,
Rizzy,Ankara,ANK729,10' x 13',ANKANK72937330113,Ivory/Gray,196796019590,1909.99,,
Rizzy,Ankara,ANK730,"2'6"" x 8'",ANKANK73000332608,Gray,196796019811,289.99,18687S,https://homemakersfurniture.github.io/rugDatabase/#/collection/Ankara/ANK730
Rizzy,Ankara,ANK730,"5'2"" x 7'9""",ANKANK73000335279,Gray,196796019941,549.99,,
Rizzy,Ankara,ANK730,8' x 10',ANKANK73000330810,Gray,196796020015,1079.99,,
Rizzy,Ankara,ANK730,9'x12',ANKANK73000330912,Gray,196796020084,1589.99,,
Rizzy,Ankara,ANK730,10' x 13',ANKANK73000330113,Gray,196796019606,1909.99,,
Rizzy,Ankara,ANK731,"2'6"" x 8'",ANKANK73133542608,Gray/Multi,196796019835,289.99,,
Rizzy,Ankara,ANK731,"5'2"" x 7'9""",ANKANK73133545279,Gray/Multi,196796019958,549.99,,
Rizzy,Ankara,ANK731,8' x 10',ANKANK73133540810,Gray/Multi,196796020022,1079.99,,
Rizzy,Ankara,ANK731,9'x12',ANKANK73133540912,Gray/Multi,196796020091,1589.99,,
Rizzy,Ankara,ANK731,10' x 13',ANKANK73133540113,Gray/Multi,196796019613,1909.99,,
Rizzy,Ankara,ANK732,"2'6"" x 8'",ANKANK73200332608,Gray,196796019859,289.99,,
Rizzy,Ankara,ANK732,"5'2"" x 7'9""",ANKANK73200335279,Gray,196796019965,549.99,18688S,https://homemakersfurniture.github.io/rugDatabase/#/collection/Ankara/ANK732
Rizzy,Ankara,ANK732,8' x 10',ANKANK73200330810,Gray,196796020039,1079.99,18689S,https://homemakersfurniture.github.io/rugDatabase/#/collection/Ankara/ANK732
Rizzy,Ankara,ANK732,9'x12',ANKANK73200330912,Gray,196796020305,1589.99,,
Rizzy,Ankara,ANK732,10' x 13',ANKANK73200330113,Gray,196796019620,1909.99,,
